Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
National,ssp119 (medium confidence),5,2020,0.012,5572907.05,3653803.32,215853.56,429710.88,1273539.62,1970.22
National,ssp119 (medium confidence),5,2030,0.029,5773870.18,3794687.2,220585.21,442916.86,1315680.89,2072.44
National,ssp119 (medium confidence),5,2040,0.05,6021023.06,3968720.35,226425.42,459007.55,1366870.1,2103.13
National,ssp119 (medium confidence),5,2050,0.092,6514008.56,4316786.42,238098.68,490989.73,1468133.84,2127.9
National,ssp119 (medium confidence),5,2060,0.102,6635253.42,4403260.96,240894.85,498632.01,1492465.57,2130.95
National,ssp119 (medium confidence),5,2070,0.126,6972437.5,4645375.52,247800.46,519407.97,1559853.44,2284.33
National,ssp119 (medium confidence),5,2080,0.14,7170141.59,4786609.05,251830.99,531656.49,1600045.3,2319.29
National,ssp119 (medium confidence),5,2090,0.162,7479776.72,5008547.44,258163.46,550796.65,1662269.51,2342.65
National,ssp119 (medium confidence),5,2100,0.145,7240640.53,4837049.53,253270.27,536013.68,1614307.2,2330.11
National,ssp119 (medium confidence),5,2110,0.17,7592271.9,5089252.58,260465.32,557748.81,1684805.47,2347.74
National,ssp119 (medium confidence),5,2120,0.179,7718843.75,5180045.11,263055.11,565578.12,1710165.17,2352.79
National,ssp119 (medium confidence),5,2130,0.184,7789162.35,5230485.86,264494.02,569915.13,1724267.62,2354.69
National,ssp119 (medium confidence),5,2140,0.188,7845416.2,5270838.12,265645.23,573388.71,1735544.41,2356.31
National,ssp119 (medium confidence),5,2150,0.194,7929778.57,5331366.83,267371.58,578598.67,1752441.52,2358.25
National,ssp119 (medium confidence),17,2020,0.026,5738665.37,3769825.32,219751.68,440598.09,1308490.76,2066.9
National,ssp119 (medium confidence),17,2030,0.052,6044492.2,3985294.95,226981.08,460529.6,1371686.79,2108.82
National,ssp119 (medium confidence),17,2040,0.078,6349705.33,4200764.41,234207.71,480345.67,1434387.54,2125.56
National,ssp119 (medium confidence),17,2050,0.123,6930146.39,4615111.43,246936.49,516785.46,1551313.28,2274.19
National,ssp119 (medium confidence),17,2060,0.141,7184202.52,4796697.24,252118.46,532530.31,1602856.21,2321.77
National,ssp119 (medium confidence),17,2070,0.174,7648538.89,5129604.83,261616.49,561233.04,1696084.61,2350.59
National,ssp119 (medium confidence),17,2080,0.198,7986023.54,5371719.39,268522.75,582075.44,1763706.28,2359.63
National,ssp119 (medium confidence),17,2090,0.229,8485695.79,5736133.71,277664.33,612065.95,1859831.96,2548.45
National,ssp119 (medium confidence),17,2100,0.243,8714202.19,5902317.38,281803.47,625916.06,1904165.16,2578.86
National,ssp119 (medium confidence),17,2110,0.266,9088849.86,6175333.71,288600.7,648558.01,1976357.48,2589.03
National,ssp119 (medium confidence),17,2120,0.285,9398235.29,6400868.86,294215.06,667230.82,2035920.57,2599.87
National,ssp119 (medium confidence),17,2130,0.302,9678624.3,6606279.32,299252.09,684019.16,2089073.31,2616.01
