Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
National,ssp119 (medium confidence),5,2020,0.012,1,0.6321,322,121,80,242,18240,5950,12290,42511840,198,43,7.05,36550,537995,257509,3283361,144,7992,79457,1,0,1,46412653,320291,312,188,10,9,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2020,0.012,5,0.1813,3290,2238,771,2519,7425316,2422649,5002666,328655954,4371,932,61.8,887646,7571014,2751343,20107871,774,482336,853165,7,0,13,357188003,11546640,1598,2686,955,979,461,521,273,184,3,0
National,ssp119 (medium confidence),5,2020,0.012,10,0.0952,3632,2558,847,2785,9467561,3154657,6312904,352162935,4847,1035,69.53,1080029,8994078,3112616,22057427,854,547539,917123,8,0,14,384131563,14207744,1634,2641,1087,1321,555,634,317,240,39,11
National,ssp119 (medium confidence),5,2020,0.012,25,0.0392,4136,2981,950,3186,12486064,4232325,8253738,386845713,5607,1200,79.54,1364597,10797458,3546971,24533111,981,629885,999779,9,0,14,423176061,18027517,1758,2710,1267,1768,644,720,348,355,119,54
National,ssp119 (medium confidence),5,2020,0.012,50,0.0198,4564,3322,1036,3528,14885630,5026310,9859321,414121994,6109,1310,87.52,1610694,12318263,3857493,27239975,1053,689630,1068167,11,0,15,454748400,21043447,1870,2775,1400,2058,758,730,362,420,174,127
National,ssp119 (medium confidence),5,2020,0.012,100,0.01,5004,3698,1126,3878,17700072,5881031,11819041,442738354,6734,1447,95.73,1893786,13872911,4179034,29971310,1148,752801,1135529,11,0,16,487718105,24525693,1978,2791,1540,2381,837,904,409,455,240,204
National,ssp119 (medium confidence),5,2020,0.012,250,0.004,5762,4258,1301,4461,22258622,7182831,15075790,477983018,7720,1660,109.07,2360791,16472036,4670446,33702402,1281,843433,1246187,14,0,17,529403644,30133293,2172,2981,1785,2688,992,1205,491,497,322,349
National,ssp119 (medium confidence),5,2030,0.029,1,0.6321,354,121,83,271,29079,9632,19447,46831674,229,50,7.56,39248,600127,277347,3635651,161,9226,88805,1,0,1,51156256,354900,343,220,11,9,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2030,0.029,5,0.1813,3451,2238,805,2646,7715648,2522619,5193029,337762242,4589,979,65.09,915648,8212915,2837634,21403109,806,493168,884898,7,0,14,368263164,11962098,1711,2805,979,1061,474,539,284,184,3,0
National,ssp119 (medium confidence),5,2030,0.029,10,0.0952,3820,2558,890,2930,9833249,3285280,6547968,366333308,5120,1094,73.1,1112263,9621565,3205823,23418387,896,558616,946643,8,0,14,400319904,14709951,1771,2797,1109,1388,575,666,315,250,50,19
