Region_ID,Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
VUT.1_1,Malampa,ssp119 (medium confidence),5,2020,0.012,346801.03,107188.68,134518.53,95637.74,9455.88,594.44
VUT.1_1,Malampa,ssp119 (medium confidence),5,2030,0.029,357412.48,112431.29,137435.56,97934.81,9610.54,630.54
VUT.1_1,Malampa,ssp119 (medium confidence),5,2040,0.05,370477.48,118907.73,141036.66,100730.52,9802.71,646.92
VUT.1_1,Malampa,ssp119 (medium confidence),5,2050,0.092,396585.04,131860.23,148233.73,106316.27,10174.98,658.46
VUT.1_1,Malampa,ssp119 (medium confidence),5,2060,0.102,402932.12,135067.85,149956.52,107642.05,10265.91,659.63
VUT.1_1,Malampa,ssp119 (medium confidence),5,2070,0.126,419726.56,143955.01,154197.24,111030.78,10543.52,712.15
VUT.1_1,Malampa,ssp119 (medium confidence),5,2080,0.14,429537.19,149139.17,156672.33,113021.08,10704.27,729.52
VUT.1_1,Malampa,ssp119 (medium confidence),5,2090,0.162,444947.34,157286.06,160561.07,116143.65,10956.48,738.14
VUT.1_1,Malampa,ssp119 (medium confidence),5,2100,0.145,433040.38,150990.71,157556.51,113731.49,10761.63,731.79
VUT.1_1,Malampa,ssp119 (medium confidence),5,2110,0.17,450547.36,160248.26,161974.87,117275.92,11048.26,739.8
VUT.1_1,Malampa,ssp119 (medium confidence),5,2120,0.179,456849.93,163581.14,163565.31,118552.28,11151.43,741.06
VUT.1_1,Malampa,ssp119 (medium confidence),5,2130,0.184,460349.78,165432.41,164449.01,119259.84,11208.78,742.76
VUT.1_1,Malampa,ssp119 (medium confidence),5,2140,0.188,463150.36,166913.76,165155.48,119826.15,11254.64,742.76
VUT.1_1,Malampa,ssp119 (medium confidence),5,2150,0.194,467349.82,169135.46,166216.04,120674.94,11323.41,742.78
VUT.1_1,Malampa,ssp119 (medium confidence),17,2020,0.026,355549.5,111506.19,136921.38,97537.11,9584.74,628.85
VUT.1_1,Malampa,ssp119 (medium confidence),17,2030,0.052,371721.37,119524.59,141379.18,100997.68,9820.21,650.72
VUT.1_1,Malampa,ssp119 (medium confidence),17,2040,0.078,387886.59,127542.69,145834.53,104458.84,10050.76,658.06
VUT.1_1,Malampa,ssp119 (medium confidence),17,2050,0.123,417623.19,142844.36,153666.67,110604.22,10508.32,706.36
VUT.1_1,Malampa,ssp119 (medium confidence),17,2060,0.141,430238.31,149509.82,156849.26,113163.82,10715.79,730.09
VUT.1_1,Malampa,ssp119 (medium confidence),17,2070,0.174,453347.03,161729.68,162681.69,117841.61,11094.13,741.02
VUT.1_1,Malampa,ssp119 (medium confidence),17,2080,0.198,470150.47,170616.84,166923.06,121241.3,11369.27,742.78
VUT.1_1,Malampa,ssp119 (medium confidence),17,2090,0.229,494436.83,184405.19,172478.26,125814.97,11738.34,817.09
VUT.1_1,Malampa,ssp119 (medium confidence),17,2100,0.243,505518.04,190704.14,174991.89,127916.27,11905.75,829.98
VUT.1_1,Malampa,ssp119 (medium confidence),17,2110,0.266,523698.34,201052.69,179119.76,131345.56,12180.35,832.63
VUT.1_1,Malampa,ssp119 (medium confidence),17,2120,0.285,538713.47,209601.2,182529.33,134175.67,12407.21,836.05
VUT.1_1,Malampa,ssp119 (medium confidence),17,2130,0.302,552374.87,217475.97,185586.16,136703.54,12608.93,838.94
VUT.1_1,Malampa,ssp119 (medium confidence),17,2140,0.316,565169.48,225355.9,188157.36,138878.92,12777.1,875.25
VUT.1_1,Malampa,ssp119 (medium confidence),17,2150,0.33,578055.12,233236.17,190736.12,141121.14,12961.81,905.48
VUT.1_1,Malampa,ssp119 (medium confidence),50,2020,0.046,367983.16,117674.2,140350.49,100200.55,9758.24,646.58
VUT.1_1,Malampa,ssp119 (medium confidence),50,2030,0.084,391614.04,129392.9,146862.82,105254.07,10103.98,658.37
VUT.1_1,Malampa,ssp119 (medium confidence),50,2040,0.124,418324.5,143214.49,153843.64,110746.7,10519.74,709.07
VUT.1_1,Malampa,ssp119 (medium confidence),50,2050,0.174,453347.03,161729.68,162681.69,117841.61,11094.13,741.02
VUT.1_1,Malampa,ssp119 (medium confidence),50,2060,0.208,477787.77,174956.77,168703.64,122642.52,11484.35,747.98
VUT.1_1,Malampa,ssp119 (medium confidence),50,2070,0.257,516586.45,197003.31,177504.8,130005.71,12072.88,830.69
VUT.1_1,Malampa,ssp119 (medium confidence),50,2080,0.3,550567.53,216350.08,185220.87,136410.08,12586.5,838.52
VUT.1_1,Malampa,ssp119 (medium confidence),50,2090,0.349,595502.48,243930.62,194232.31,144139.38,13200.1,914.95
VUT.1_1,Malampa,ssp119 (medium confidence),50,2100,0.404,646538.28,275436.05,204361.06,152850.75,13890.71,929.14
VUT.1_1,Malampa,ssp119 (medium confidence),50,2110,0.456,702494.28,311827.71,214171.11,161910.73,14584.89,1015.49
VUT.1_1,Malampa,ssp119 (medium confidence),50,2120,0.496,745509.11,339821.39,221713.65,168856.37,15118.04,1024.8
VUT.1_1,Malampa,ssp119 (medium confidence),50,2130,0.535,792838.38,371492.57,229471.74,176230.75,15643.83,1106.7
VUT.1_1,Malampa,ssp119 (medium confidence),50,2140,0.572,838386.92,402014.12,236877.9,183350.36,16144.55,1122.37
VUT.1_1,Malampa,ssp119 (medium confidence),50,2150,0.608,884034.01,432886.83,244195.72,190318.99,16632.27,1138.64
VUT.1_1,Malampa,ssp119 (medium confidence),83,2020,0.07,382916.44,125075.43,144463.83,103397.11,9979.81,657.8
VUT.1_1,Malampa,ssp119 (medium confidence),83,2030,0.125,419023.68,143584.87,154020.61,110887.21,10531.46,710.32
VUT.1_1,Malampa,ssp119 (medium confidence),83,2040,0.183,459649.84,165062.29,164272.12,119118.13,11197.28,741.41
VUT.1_1,Malampa,ssp119 (medium confidence),83,2050,0.249,510262.66,193403.65,176068.95,128812.77,11977.32,830.26
VUT.1_1,Malampa,ssp119 (medium confidence),83,2060,0.305,555087.67,219164.6,186134.78,137145.67,12642.61,839.26
VUT.1_1,Malampa,ssp119 (medium confidence),83,2070,0.38,623952.6,261379.19,199933.28,149050.98,13588.77,921.88
VUT.1_1,Malampa,ssp119 (medium confidence),83,2080,0.449,694959.46,306928.94,212851.03,160687.81,14491.43,1014.02
VUT.1_1,Malampa,ssp119 (medium confidence),83,2090,0.525,780498.06,363243.55,227468.63,174292.92,15493.22,1087.61
