Scenario,Percentile,SLR_50cm,SLR_100cm,SLR_150cm
ssp585 (low confidence),95,2046,2065,2079
ssp585 (low confidence),83,2054,2076,2092
ssp126 (low confidence),95,2055,2089,2117
ssp585 (medium confidence),95,2058,2084,2104
ssp370 (medium confidence),95,2061,2090,2113
ssp245 (medium confidence),95,2063,2097,2129
ssp585 (medium confidence),83,2065,2094,2119
ssp126 (low confidence),83,2067,2111,N/A
ssp126 (medium confidence),95,2067,2110,N/A
ssp370 (medium confidence),83,2069,2101,2130
ssp245 (medium confidence),83,2072,2113,N/A
ssp119 (medium confidence),95,2072,2122,N/A
ssp585 (low confidence),50,2074,2103,2126
ssp585 (medium confidence),50,2078,2116,N/A
ssp126 (medium confidence),83,2080,2133,N/A
ssp370 (medium confidence),50,2083,2127,N/A
ssp119 (medium confidence),83,2087,N/A,N/A
ssp585 (medium confidence),17,2091,N/A,N/A
ssp585 (low confidence),17,2091,N/A,N/A
ssp245 (medium confidence),50,2091,N/A,N/A
ssp370 (medium confidence),17,2100,N/A,N/A
ssp126 (low confidence),50,2103,N/A,N/A
ssp126 (medium confidence),50,2106,N/A,N/A
ssp585 (medium confidence),5,2113,N/A,N/A
ssp585 (low confidence),5,2113,N/A,N/A
ssp119 (medium confidence),50,2122,N/A,N/A
ssp370 (medium confidence),5,2129,N/A,N/A
ssp245 (medium confidence),17,2134,N/A,N/A
ssp126 (low confidence),17,N/A,N/A,N/A
ssp245 (medium confidence),5,N/A,N/A,N/A
ssp126 (low confidence),5,N/A,N/A,N/A
ssp126 (medium confidence),17,N/A,N/A,N/A
ssp126 (medium confidence),5,N/A,N/A,N/A
ssp119 (medium confidence),5,N/A,N/A,N/A
ssp119 (medium confidence),17,N/A,N/A,N/A
