Region,ID,Scenario,Percentile,First.Year,First.Total_AAL,First.Building_AAL,First.Crops_AAL,First.Road_AAL,First.Infrastructure_AAL,First.Average_Annual_Population_Exposed,Last.Year,Last.Total_AAL,Last.Building_AAL,Last.Crops_AAL,Last.Road_AAL,Last.Infrastructure_AAL,Last.Average_Annual_Population_Exposed,Change.Year,Change.Total_AAL,Change.Building_AAL,Change.Crops_AAL,Change.Road_AAL,Change.Infrastructure_AAL,Change.Average_Annual_Population_Exposed
Gagaifomauga II,51752279B51367049300585,ssp245 (medium confidence),50,2020,238445.71,203002.17,0,35443.52,0,246.26,2150,1197650.87,1081062.9,0,116588.19,0,307.95,130,959205.16,878060.73,0,81144.67,0,61.69
Gagaemauga II (PART),51752279B80386032280412,ssp245 (medium confidence),50,2020,3241.49,1740.12,257.8,1243.57,0,21.87,2150,30441.94,20033.72,1545,8863.23,0,29.09,130,27200.45,18293.6,1287.2,7619.66,0,7.22
Sagaga le Falefa,51752279B7891864282518,ssp245 (medium confidence),50,2020,686329.34,580921.07,2717.78,102690.29,0,1367.19,2150,3329795.76,3036546.67,5593.42,287655.44,0,1752.92,130,2643466.42,2455625.6,2875.64,184965.15,0,385.73
Faasaleleaga II,51752279B41947218323139,ssp245 (medium confidence),50,2020,273128.94,205451.9,2121.35,17954.14,47601.63,615.62,2150,1677499.9,1476218.49,3079.75,105463.79,92738.11,858.01,130,1404370.96,1270766.59,958.4,87509.65,45136.48,242.39
Palauli East,51752279B87683289177764,ssp245 (medium confidence),50,2020,215375.62,145551.22,172.22,10180.67,59471.49,421,2150,1048075.99,878948.72,2258.98,60578.72,106289.53,543.88,130,832700.37,733397.5,2086.76,50398.05,46818.04,122.88
Sagaga le Usoga,51752279B36122243432927,ssp245 (medium confidence),50,2020,510675.59,456620.44,71.35,39407.38,14576.72,1067.62,2150,2882034.19,2722371.36,1604.07,133970.61,24088.21,1508.49,130,2371358.6,2265750.92,1532.72,94563.23,9511.49,440.87
Faleata West,51752279B40564950197350,ssp245 (medium confidence),50,2020,229329.32,228171.76,0,1157.56,0,662.16,2150,1788152.71,1766401.75,0.15,21750.77,0,872.67,130,1558823.39,1538229.99,0.15,20593.21,0,210.51
Palauli le Falefa,51752279B50623478209398,ssp245 (medium confidence),50,2020,60.81,0.11,0,60.7,0,66.07,2150,8104.58,679.06,85.66,6807.78,531.86,106.33,130,8043.77,678.95,85.66,6747.08,531.86,40.26
Alataua West,51752279B81140789845654,ssp245 (medium confidence),50,2020,2495.24,1928.15,76.44,490.66,0,122.01,2150,37347.01,30485.6,1380.39,5481.37,0,168.27,130,34851.77,28557.45,1303.95,4990.71,0,46.26
Lefaga & Faleseela,51752279B23927704068678,ssp245 (medium confidence),50,2020,259165.36,230628.41,4088.62,24448.08,0,495.97,2150,1150908.11,1067211.5,6020.01,77676.62,0,603.8,130,891742.75,836583.09,1931.39,53228.54,0,107.83
Faleata East,51752279B54657815121204,ssp245 (medium confidence),50,2020,240646.33,218255.78,144.97,11185.53,11059.98,944.01,2150,1564857.98,1423042.48,2121.35,46877.47,92816.68,1459.98,130,1324211.65,1204786.7,1976.38,35691.94,81756.7,515.97
Vaisigano East,51752279B23557786171080,ssp245 (medium confidence),50,2020,290045.11,178152.16,2098.26,25290.64,84504.32,375.74,2150,1338963.59,971682.03,2171.16,84529.06,280580.97,487.35,130,1048918.48,793529.87,72.8999999999996,59238.42,196076.65,111.61
Aleipata itupa i Lalo,51752279B65562050624331,ssp245 (medium confidence),50,2020,267361.04,190353.56,1755.15,75252.34,0,449.96,2150,1984152.6,1754940.74,2761.93,226450.18,0,584.84,130,1716791.56,1564587.18,1006.78,151197.84,0,134.88
Siumu,51752279B86621231996740,ssp245 (medium confidence),50,2020,75838.45,74252.9,0,1585.48,0,136.72,2150,454031.76,445299.58,0,8731.88,0,172.11,130,378193.31,371046.68,0,7146.4,0,35.39
Anoamaa East,51752279B65855420318415,ssp245 (medium confidence),50,2020,147920.78,139289.04,2296.03,6335.75,0,693.55,2150,875605.14,836248.07,3297.03,36060.27,0,839.3,130,727684.36,696959.03,1001,29724.52,0,145.75
Vaa o Fonoti,51752279B29729282307798,ssp245 (medium confidence),50,2020,281649.39,206550.76,4233.39,70864.97,0,692.81,2150,1506323.73,1337858.66,7841.02,160624.09,0,834.88,130,1224674.34,1131307.9,3607.63,89759.12,0,142.07
Falelatai & Samatau,51752279B18157705757653,ssp245 (medium confidence),50,2020,465202.18,265177.68,3346.06,194044.55,2633.77,1111.68,2150,2455456,1887150.47,4953.17,556914.57,6437.52,1330.22,130,1990253.82,1621972.79,1607.11,362870.02,3803.75,218.54
Faasalelelaga IV,51752279B84305185807219,ssp245 (medium confidence),50,2020,84503.34,37002.95,3209.09,15952.08,28338.89,497.95,2150,812102.7,537439.82,9400.95,197935.28,67326.89,679.3,130,727599.36,500436.87,6191.86,181983.2,38988,181.35
Vaimauga West,51752279B6831491074988,ssp245 (medium confidence),50,2020,10210020.58,6269134.36,5708.32,482531.89,3452645.96,2990.3,2150,41234539.46,33728004.39,9311.98,1072716,6424507.02,4401.71,130,31024518.88,27458870.03,3603.66,590184.11,2971861.06,1411.41
Faasaleleaga I,51752279B74784353910283,ssp245 (medium confidence),50,2020,345581.23,186542.16,0,10717.3,148321.72,920.19,2150,1907911.59,1510742.59,0,73330.86,323838.38,1250.58,130,1562330.36,1324200.43,0,62613.56,175516.66,330.39
Gagaifomauga I,51752279B82418493782351,ssp245 (medium confidence),50,2020,25935.07,19582.75,267.63,6084.44,0,281.23,2150,223483.74,178623.57,3412.93,41447.32,0,398.1,130,197548.67,159040.82,3145.3,35362.88,0,116.87
Gagaemauga III,51752279B15532907109577,ssp245 (medium confidence),50,2020,249203.24,138139.51,918.7,37730.18,72414.85,571.29,2150,1263249.19,1012291.52,6170.76,136879.95,107907.02,720.72,130,1014045.95,874152.01,5252.06,99149.77,35492.17,149.43
Falealili,51752279B81921466612681,ssp245 (medium confidence),50,2020,186379.72,94985.39,2121.35,26322.16,62950.63,387.81,2150,847590.7,664916.22,3336.05,67413.07,111925.44,513.15,130,661210.98,569930.83,1214.7,41090.91,48974.81,125.34
Aleipata itupa i Luga,51752279B27667429376440,ssp245 (medium confidence),50,2020,42239.77,28622.83,32.16,13584.77,0,182.6,2150,347926.11,250641.06,2212.86,95072.45,0,239.93,130,305686.34,222018.23,2180.7,81487.68,0,57.33
Aana Alofi II,51752279B99154731700869,ssp245 (medium confidence),50,2020,109228.26,97572.15,0,11656.12,0,415.59,2150,674640.52,620360.44,0,54280.06,0,533.88,130,565412.26,522788.29,0,42623.94,0,118.29
Satuipaitea,51752279B75424084440116,ssp245 (medium confidence),50,2020,132597.65,103761.82,0,28835.58,0,533.33,2150,808017.81,723961.78,0,84055.81,0,727.04,130,675420.16,620199.96,0,55220.23,0,193.71
Gagaemauga II,51752279B40413162878901,ssp245 (medium confidence),50,2020,89181.92,84064.01,0,5117.95,0,208.53,2150,574078.85,545838.56,0,28240.45,0,293.66,130,484896.93,461774.55,0,23122.5,0,85.13
Anoamaa West,51752279B84005486161321,ssp245 (medium confidence),50,2020,790019.56,421097.21,2121.35,117889.03,248912.01,1483.59,2150,2995317.18,2219175.7,2535.63,390647.39,382958.51,1795.13,130,2205297.62,1798078.49,414.28,272758.36,134046.5,311.54
Gagaemauga I (PART),51752279B78880498357537,ssp245 (medium confidence),50,2020,76597.17,75538.37,0,1058.8,0,183.01,2150,440139.2,430796.09,0,9343.11,0,260.37,130,363542.03,355257.72,0,8284.31,0,77.36
Vaisigano West,51752279B83284410514886,ssp245 (medium confidence),50,2020,2348.32,903.43,113.79,1331.14,0,114.02,2150,26523.88,12553.43,1417.6,12552.92,0,141.04,130,24175.56,11650,1303.81,11221.78,0,27.02
Aana Alofi III,51752279B31519013517302,ssp245 (medium confidence),50,2020,371230.91,289959.37,228.81,81042.45,0,649.05,2150,2043672.81,1861116.46,3422.13,179134.24,0,951.41,130,1672441.9,1571157.09,3193.32,98091.79,0,302.36
Safata,51752279B93742903917224,ssp245 (medium confidence),50,2020,254745.16,208768.45,10805.56,35171.15,0,793.62,2150,1708605.38,1547135.68,23878.05,137591.86,0,1008.39,130,1453860.22,1338367.23,13072.49,102420.71,0,214.77
Falealupo,51752279B91405763132187,ssp245 (medium confidence),50,2020,8459.23,4729.59,149.54,3580.38,0,47,2150,61701.58,37581.62,2375.44,21744.79,0,86.87,130,53242.35,32852.03,2225.9,18164.41,0,39.87
Lepa,51752279B44290724889134,ssp245 (medium confidence),50,2020,18818.41,15927.38,297.7,2593.65,0,98.58,2150,94887.17,79763.28,2121.35,13002.56,0,127.22,130,76068.76,63835.9,1823.65,10408.91,0,28.64
Salega,51752279B51702151911429,ssp245 (medium confidence),50,2020,70.01,1.63,0,68.37,0,82.7,2150,146.74,20.11,0,126.64,0,86,130,76.73,18.48,0,58.27,0,3.3
Aana Alofi I,51752279B79579016440908,ssp245 (medium confidence),50,2020,239430.82,208386.38,0.39,31043.95,0,690.94,2150,1275541.71,1130382.57,367.16,144792.25,0,981,130,1036110.89,921996.19,366.77,113748.3,0,290.06
Gagaifomauga III,51752279B86884772728329,ssp245 (medium confidence),50,2020,26969.33,12331.16,0,14638.2,0,134.85,2150,192924.79,133220.69,0,59704.09,0,183.44,130,165955.46,120889.53,0,45065.89,0,48.59
Lotofaga,51752279B14441590630946,ssp245 (medium confidence),50,2020,14382.45,3960.48,1022.98,513.37,8885.93,50.99,2150,49096.67,28726.13,2122.81,2211.58,16036.25,83.3,130,34714.22,24765.65,1099.83,1698.21,7150.32,32.31
Faasaleleaga III,51752279B1430525557017,ssp245 (medium confidence),50,2020,31287.2,25298.44,1384.38,4604.28,0,622.53,2150,477006.38,329746.15,4385.43,142875.36,0,945.51,130,445719.18,304447.71,3001.05,138271.08,0,322.98
Vaimauga East,51752279B75699078159302,ssp245 (medium confidence),50,2020,477862.04,243394.81,1354.68,36398.34,196714.21,793.01,2150,2113371.15,1634248.45,2124.18,128440.42,348558.11,1025.41,130,1635509.11,1390853.64,769.5,92042.08,151843.9,232.4
Palauli West,51752279B21529413324120,ssp245 (medium confidence),50,2020,12664.99,10043.55,1326.55,1294.81,0,231.29,2150,85479.92,67940.8,5150.94,12388.48,0,326.47,130,72814.93,57897.25,3824.39,11093.67,0,95.18
Aiga i le Tai,51752279B95310114006848,ssp245 (medium confidence),50,2020,1568896.95,950395.58,2514.25,509641.14,106345.97,1786.4,2150,6822407.46,5674559.31,7389.43,969628.38,170830.56,2200.19,130,5253510.51,4724163.73,4875.18,459987.24,64484.59,413.79
